ticker,country,complete,completion_pct,missing
9984.T,JP,non,67,ir_page_snapshot
A,US,non,60,ir_page_snapshot|home_page_snapshot
AAPL,US,OUI,100,
ABBN.SW,EU,OUI,100,
ABBNY,FPI,OUI,100,
ABBV,US,non,60,ir_page_snapshot|home_page_snapshot
ABF.L,UK,non,67,ir_page_snapshot
ABLZF,FPI,OUI,100,
ABNB,US,non,80,ir_page_snapshot
ABT,US,OUI,100,
ABVX,FPI,non,67,ir_page_snapshot
ACGL,US,non,80,ir_page_snapshot
ACN,US,non,80,ir_page_snapshot
ADBE,US,non,60,ir_page_snapshot|home_page_snapshot
ADI,US,non,60,ir_page_snapshot|home_page_snapshot
ADM,US,OUI,100,
ADP,US,non,60,ir_page_snapshot|home_page_snapshot
ADSK,US,non,80,ir_page_snapshot
ADTTF,FPI,OUI,100,
ADYEN.AS,EU,OUI,100,
AEE,US,non,60,ir_page_snapshot|home_page_snapshot
AEP,US,OUI,100,
AES,US,OUI,100,
AFL,US,non,80,ir_page_snapshot
AGN.AS,EU,non,33,ir_page_snapshot|home_page_snapshot
AIG,US,OUI,100,
AIZ,US,non,80,ir_page_snapshot
AJG,US,non,60,ir_page_snapshot|home_page_snapshot
AKAM,US,non,60,ir_page_snapshot|home_page_snapshot
AKZA.AS,EU,OUI,100,
ALB,US,OUI,100,
ALGN,US,non,80,ir_page_snapshot
ALL,US,non,80,ir_page_snapshot
ALLE,US,OUI,100,
AMAT,US,non,60,ir_page_snapshot|home_page_snapshot
AMCR,US,OUI,100,
AMD,US,OUI,100,
AME,US,OUI,100,
AMGN,US,non,80,ir_page_snapshot
AMP,US,OUI,100,
AMT,US,non,60,ir_page_snapshot|home_page_snapshot
AMUN.PA,EU,non,67,ir_page_snapshot
AMZN,US,non,80,home_page_snapshot
ANA.MC,EU,OUI,100,
ANET,US,non,80,ir_page_snapshot
AON,US,OUI,100,
AOS,US,OUI,100,
APA,US,non,80,ir_page_snapshot
APD,US,non,80,ir_page_snapshot
APH,US,non,60,ir_page_snapshot|home_page_snapshot
APO,US,non,80,ir_page_snapshot
APP,US,OUI,100,
APTV,US,non,80,ir_page_snapshot
ARE,US,non,60,ir_page_snapshot|home_page_snapshot
ARES,US,non,80,ir_page_snapshot
ARGX,FPI,OUI,100,
ARM,FPI,OUI,100,
ASML,FPI,OUI,100,
ASMLF,FPI,OUI,100,
ATCO-A.ST,EU,OUI,100,
ATEYY,FPI,OUI,100,
ATO,US,non,80,ir_page_snapshot
AV.L,UK,OUI,100,
AVB,US,non,80,ir_page_snapshot
AVGO,US,non,80,ir_page_snapshot
AVY,US,OUI,100,
AWK,US,non,80,ir_page_snapshot
AXON,US,non,80,ir_page_snapshot
AXP,US,non,80,ir_page_snapshot
AZN.ST,EU,OUI,100,
AZO,US,non,60,ir_page_snapshot|home_page_snapshot
BA,US,OUI,100,
BA.L,UK,non,33,ir_page_snapshot|home_page_snapshot
BAC,US,OUI,100,
BALL,US,OUI,100,
BARC.L,UK,OUI,100,
BAX,US,OUI,100,
BBVA.MC,EU,non,67,ir_page_snapshot
BBVXF,FPI,non,67,ir_page_snapshot
BBY,US,non,80,ir_page_snapshot
BCLYF,FPI,OUI,100,
BCP.LS,EU,non,67,ir_page_snapshot
BDX,US,OUI,100,
BEN,US,OUI,100,
BESI.AS,EU,OUI,100,
BF.B,US,non,0,annual_report|quarterly_report|proxy_statement|ir_page_snapshot|home_page_snapshot
BG,US,non,60,ir_page_snapshot|home_page_snapshot
BIIB,US,non,80,ir_page_snapshot
BIP,FPI,OUI,100,
BJ,US,non,60,ir_page_snapshot|home_page_snapshot
BK,US,non,80,ir_page_snapshot
